range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.0,0.15,10,both,True,1888.1356,1931.9251199999999,1825.1508,2104.0838,-111.8644,-111.8644,0.0,1,5,1850.34472
0.02,0.2,20,both,True,1881.8876,1921.0382399999999,1824.7014,2033.6512,-118.1124,-118.1124,0.0,2,5,1847.5758799999999
0.0,0.2,10,both,True,1879.1378,1914.3293600000002,1811.1541,2055.0956,-120.8622,-120.8622,0.0,1,5,1838.34758
0.02,0.2,10,both,True,1888.3356,1924.40694,1795.9578,2029.1018,-111.6644,-111.6644,0.0,2,5,1832.90892
0.02,0.15,10,both,True,1871.3397,1914.1694,1806.7552,2058.2948,-128.6603,-128.6603,0.0,2,5,1832.589
0.0,0.2,20,both,True,1870.0905,1909.0811,1802.1068,2063.0441,-129.9095,-129.9095,0.0,2,5,1829.30028
0.05,0.2,20,both,True,1886.735,1930.22456,1750.5177,2169.1672,-113.265,-113.265,0.0,2,5,1805.00462
0.05,0.15,10,both,True,1863.2406,1931.2242999999999,1763.2646,2127.1773,-136.7594,-136.7594,0.0,2,5,1803.255
0.05,0.2,10,both,True,1914.2284,1930.2245599999999,1699.28,2179.1648,-85.7716,-85.7716,0.0,2,5,1785.25936
0.02,0.2,10,both,False,1816.2371,1727.16498,1133.1559,2219.2579,-183.7629,-184.0386,0.0,1,5,1406.3883799999999
0.05,0.2,20,both,False,1719.1467,1628.89478,1171.5914,1939.8341,-280.8533,-280.4487,-0.3566,0,5,1390.6135199999999
0.05,0.2,10,both,False,1789.3374,1761.28138,1052.6057,2393.4932,-210.6626,-176.2521,-12.0683,1,5,1347.2983800000002
0.05,0.15,10,both,False,1711.4097,1555.47394,839.9566,1879.7814,-288.5903,-285.5323,-2.962,0,5,1188.53784
0.0,0.2,10,both,False,1793.6676,1585.59216,767.5405,1922.4457,-206.3324,-206.9176,0.0,0,5,1177.99134
